Model,Train_Accuracy,Test_Accuracy,Val_Accuracy,Training_Time
LogisticRegression,0.38903394255874674,0.3878787878787879,0.38414634146341464,0.012872934341430664
LinearSVM,0.42428198433420367,0.38181818181818183,0.3780487804878049,0.03357577323913574
