Model,Train_Accuracy,Test_Accuracy,Val_Accuracy,Training_Time
LogisticRegression,0.4281984334203655,0.21212121212121213,0.18292682926829268,0.21521782875061035
LinearSVM,0.48172323759791125,0.26666666666666666,0.25,25.846487045288086
